Model,Train R2,LOOCV R2,LOOCV MAE,LOOCV RMSE
GPR (kernel_0),0.9944576066637885,0.9028218852343193,0.5670612912499656,0.7047345721675782
GPR (kernel_1),0.9960135955656612,0.8435682743123496,0.7446702140078256,0.8941363697872918
Ridge (alpha=1.0) + Poly2,0.9643035646528401,0.829913448234205,0.76459666420851,0.9323443228832894
Lasso (alpha=0.01) + Poly2,0.966793265106813,0.8273659745163959,0.7813236250768857,0.9393004733223029
ElasticNet (alpha=0.01) + Poly2,0.9668933738992065,0.8270558431384225,0.78167011105975,0.9401438060199572
Ridge (alpha=0.1) + Poly2,0.9671272329729588,0.8246426711055318,0.7889847155407387,0.9466802203057294
"SVR + Poly2 (linear, C=1.0)",0.9443548923327681,0.8235746027533366,0.7228349163901834,0.9495588687956218
"SVR + Poly2 (linear, C=10.0)",0.9443669780892149,0.8234431114268043,0.7262575963405543,0.9499126599768327
Ridge (alpha=0.01) + Poly2,0.9671590425461767,0.8233687561176372,0.7928946225600302,0.9501126624101741
"SVR + Poly2 (linear, C=100.0)",0.9443601592866513,0.8233490328340919,0.7266243344796687,0.9501657074375778
RSM (LinearRegression + Poly2),0.9671593678537302,0.8232171499736951,0.7933333333333371,0.9505203253423334
ElasticNet (alpha=0.1) + Poly2,0.9445909229661782,0.8082268899610233,0.8009775794414549,0.9900000079910324
Lasso (alpha=0.1) + Poly2,0.9340886822361762,0.7794340333324707,0.8246224813252652,1.061721454182949
"SVR (rbf, C=10.0, eps=0.01)",0.9951677378553401,0.7579292256713078,0.9526138237634183,1.1122758866025781
"SVR (rbf, C=100.0, eps=0.01)",0.99516773785534,0.7579292256713077,0.9526138237634191,1.1122758866025784
"SVR (rbf, C=10.0, eps=0.1)",0.9935480599884697,0.74989436524156,0.9719967311128107,1.130584639133429
"SVR (rbf, C=100.0, eps=0.1)",0.9935480599884698,0.7498943652415582,0.9719967311128141,1.1305846391334329
"SVR (rbf, C=10.0, eps=0.2)",0.9892605111297906,0.7392071282499917,1.003313828039286,1.1544874088277854
"SVR (rbf, C=100.0, eps=0.2)",0.9892605111297904,0.739207128249991,1.0033138280392875,1.154487408827787
"SVR + Poly2 (rbf, C=10.0)",0.9936687135420625,0.6981837189982465,0.957305304811826,1.2419744858061652
"SVR + Poly2 (rbf, C=100.0)",0.9936687135420625,0.6981837189982457,0.9573053048118267,1.2419744858061668
Extra Trees (default),0.9964731649184587,0.6933734633842621,0.8996790123456804,1.2518324675246897
Ridge (alpha=10.0) + Poly2,0.8489239010954609,0.6819889860318218,0.988082312510877,1.2748597894672342
"XGBoost (lr=0.1, depth=3, n_est=100)",0.9857956694276993,0.6466633645654944,1.0557474206995079,1.343803218869474
Gradient Boosting (default),0.9901600517294623,0.6389083762017962,1.0424272936056025,1.358469992174962
"XGBoost (lr=0.1, depth=2, n_est=100)",0.9229624679693725,0.6190043632055031,1.0706176757812498,1.3954084336610915
"XGBoost (lr=0.1, depth=3, n_est=50)",0.9304034316594547,0.6173654090931027,1.1027974729184749,1.3984065731412758
"XGBoost (lr=0.05, depth=3, n_est=100)",0.9267299550571427,0.5973043176458741,1.1366607666015625,1.4345967049946
Random Forest (default),0.9444170213273781,0.5895920988355978,1.0794864197530827,1.4482688807900266
GPR (kernel_4),0.8453542649598217,0.5726615097227927,1.2705153833282437,1.4778397647797714
GPR (kernel_3),0.7854248749368669,0.5494765976920555,1.3025714156424992,1.517399791357936
"XGBoost (lr=0.1, depth=2, n_est=50)",0.8195029220408108,0.5394700479939017,1.157160158510561,1.5341586850015394
"SVR + Poly2 (linear, C=0.1)",0.6811909231530844,0.5366012617219986,0.9941104497582969,1.5389296456594745
"XGBoost (lr=0.05, depth=2, n_est=100)",0.8149510675811903,0.5336430587306995,1.1752717477303962,1.5438338713273825
"XGBoost (lr=0.05, depth=3, n_est=50)",0.802057902286928,0.5284057421342565,1.225502409758391,1.5524785079725951
"XGBoost (lr=0.1, depth=3, n_est=20)",0.7566700226416564,0.5118587248102893,1.2378788418240017,1.5794799163996203
"Gradient Boosting (tuned: max_depth=2, n_estimators=50)",0.7143603801207664,0.4804643417513589,1.2834411212587202,1.629479956363218
"Random Forest (tuned: max_depth=3, n_estimators=50)",0.731893928230587,0.45011802964873293,1.3239436263325155,1.6763939410265287
"XGBoost (lr=0.05, depth=2, n_est=50)",0.6650321049715393,0.4388180949507021,1.3498632077817563,1.6935310824231806
"XGBoost (lr=0.05, depth=3, n_est=20)",0.5798536429585592,0.42620059237342767,1.3712610880533855,1.7124637626886914
"XGBoost (lr=0.01, depth=3, n_est=100)",0.574804215065607,0.425623498334035,1.3720748901367188,1.713324694453457
"XGBoost (lr=0.1, depth=2, n_est=20)",0.6185985717383422,0.39758632328984234,1.4170376247829861,1.7546429428176917
AdaBoost (default),0.9320070920148505,0.33474512571519466,1.4665806210250645,1.8438915541328478
"XGBoost (lr=0.05, depth=2, n_est=20)",0.4567510621778982,0.3293590344578353,1.5077223036024305,1.8513408399161675
"XGBoost (lr=0.01, depth=2, n_est=100)",0.45296897087537513,0.3227170275451511,1.5111473366066261,1.8604860627694129
ElasticNet (alpha=1.0) + Poly2,0.4172643526677001,0.3209739854915701,1.432762080654529,1.8628785794799538
"XGBoost (lr=0.01, depth=3, n_est=50)",0.3917094283498743,0.29039704028008495,1.5126959341543693,1.9043600032735803
"SVR + Poly2 (rbf, C=1.0)",0.6362124338340902,0.2716455932047337,1.5212487017254337,1.9293575483467278
"SVR (rbf, C=1.0, eps=0.2)",0.5882016809294526,0.2414921320482799,1.6132334581898506,1.9688897018729625
Lasso (alpha=1.0) + Poly2,0.31175504332048565,0.23878992011374955,1.5504414503982533,1.9723937045371909
"SVR (rbf, C=1.0, eps=0.1)",0.5807163962046089,0.23375479865199922,1.6136273414734534,1.9789062779773599
"SVR (rbf, C=1.0, eps=0.01)",0.5723799533132019,0.22156011436496326,1.620337805075369,1.9945911259064635
"XGBoost (lr=0.01, depth=2, n_est=50)",0.3050563091171292,0.21582657809507821,1.6084763420952692,2.0019231499481935
"XGBoost (lr=0.01, depth=3, n_est=20)",0.19598623705195417,0.10946445011188266,1.7081624066388168,2.133373877228273
"XGBoost (lr=0.01, depth=2, n_est=20)",0.15397335595236172,0.0785737406512117,1.7348467791521993,2.17005946546406
"SVR (rbf, C=0.1, eps=0.1)",0.03629945948976199,-0.06425603713474648,1.8225287065455154,2.3321925496655704
"SVR (rbf, C=0.1, eps=0.01)",0.038799566788168316,-0.06497584712048265,1.8218175951343338,2.332981106023225
"SVR + Poly2 (rbf, C=0.1)",0.04106652081672735,-0.0736945523980106,1.8160604442571358,2.3425114223268095
