Model,LOOCV R2,LOOCV MAE,LOOCV RMSE
"GPR (RBF, len=2.0, alpha=0.01)",0.9145433021599779,0.5803178731042098,0.6608675018297236
"GPR (RBF, len=5.0, alpha=0.01)",0.9145433014169632,0.58031787072118,0.6608675047027244
"GPR (RBF, len=20.0, alpha=0.01)",0.9145433014169632,0.58031787072118,0.6608675047027244
"GPR (RBF, len=10.0, alpha=0.01)",0.9145433014169632,0.58031787072118,0.6608675047027244
"GPR (RBF, len=15.0, alpha=0.01)",0.9145433014169632,0.58031787072118,0.6608675047027244
"GPR (RBF, len=2.0, alpha=0.05)",0.9145195270523967,0.5581131450425137,0.6609594261824684
"GPR (RBF, len=10.0, alpha=0.05)",0.9145195269399784,0.558113145651023,0.6609594266170935
"GPR (RBF, len=5.0, alpha=0.05)",0.9145195269399784,0.558113145651023,0.6609594266170935
"GPR (RBF, len=20.0, alpha=0.05)",0.9145195269399784,0.558113145651023,0.6609594266170935
"GPR (RBF, len=15.0, alpha=0.05)",0.9145195269399784,0.558113145651023,0.6609594266170935
"GPR (RBF, len=10.0, alpha=0.1)",0.9028218949761603,0.5670612685708966,0.7047345368437177
"GPR (RBF, len=20.0, alpha=0.1)",0.9028218949761603,0.5670612685708966,0.7047345368437177
"GPR (RBF, len=15.0, alpha=0.1)",0.9028218949761603,0.5670612685708966,0.7047345368437177
"GPR (RBF, len=5.0, alpha=0.1)",0.9028218949761603,0.5670612685708966,0.7047345368437177
"GPR (RBF, len=2.0, alpha=0.1)",0.9028218924201824,0.5670612702798197,0.7047345461116792
"GPR (Matern 2.5, len=20.0, alpha=0.01)",0.9001044713411352,0.5972483660091756,0.7145199632100276
"GPR (Matern 2.5, len=5.0, alpha=0.01)",0.9001044713411352,0.5972483660091756,0.7145199632100276
"GPR (Matern 2.5, len=15.0, alpha=0.01)",0.9001044713411352,0.5972483660091756,0.7145199632100276
"GPR (Matern 2.5, len=10.0, alpha=0.01)",0.9001044713411352,0.5972483660091756,0.7145199632100276
"GPR (Matern 2.5, len=2.0, alpha=0.01)",0.9001044616712286,0.5972483932828583,0.7145199977928627
"GPR (Matern 2.5, len=2.0, alpha=0.05)",0.8938735459147406,0.6125504185998488,0.736466792722268
"GPR (Matern 2.5, len=10.0, alpha=0.05)",0.8938735421394396,0.6125504464417415,0.7364668058216585
"GPR (Matern 2.5, len=15.0, alpha=0.05)",0.8938735421394396,0.6125504464417415,0.7364668058216585
"GPR (Matern 2.5, len=20.0, alpha=0.05)",0.8938735421394396,0.6125504464417415,0.7364668058216585
"GPR (Matern 2.5, len=5.0, alpha=0.05)",0.8938735353265421,0.6125504628341408,0.7364668294607817
"GPR (RBF, len=5.0, alpha=0.15)",0.8914097107158553,0.6036844301270405,0.7449666609416645
"GPR (RBF, len=15.0, alpha=0.15)",0.8914097105769152,0.6036844230359512,0.7449666614182527
"GPR (RBF, len=10.0, alpha=0.15)",0.8914097105769152,0.6036844230359512,0.7449666614182527
"GPR (RBF, len=20.0, alpha=0.15)",0.8914097105769152,0.6036844230359512,0.7449666614182527
"GPR (RBF, len=2.0, alpha=0.15)",0.8914097105769152,0.6036844230359512,0.7449666614182527
"SVR (RBF, C=50.0, eps=0.05, g=0.1)",0.8878839596529227,0.628294266394329,0.7569639866924983
"GPR (Matern 2.5, len=5.0, alpha=0.1)",0.8866993108724274,0.6317752084831988,0.7609526224969728
"GPR (Matern 2.5, len=2.0, alpha=0.1)",0.8866993099654393,0.631775211540105,0.7609526255427396
"GPR (Matern 2.5, len=20.0, alpha=0.1)",0.8866993095922748,0.6317752107711838,0.7609526267958675
"GPR (Matern 2.5, len=10.0, alpha=0.1)",0.8866993095922748,0.6317752107711838,0.7609526267958675
"GPR (Matern 2.5, len=15.0, alpha=0.1)",0.8866993095922748,0.6317752107711838,0.7609526267958675
"SVR (RBF, C=20.0, eps=0.05, g=0.1)",0.886542137938399,0.6320993905071869,0.7614802437662409
"GPR (RBF, len=2.0, alpha=0.2)",0.8822672738514042,0.6310838174912484,0.7756931255701036
"GPR (RBF, len=5.0, alpha=0.2)",0.8822672692428211,0.6310837912947554,0.775693140752145
"GPR (RBF, len=20.0, alpha=0.2)",0.8822672674341796,0.6310837948914154,0.7756931467103468
"GPR (RBF, len=10.0, alpha=0.2)",0.8822672674341796,0.6310837948914154,0.7756931467103468
"GPR (RBF, len=15.0, alpha=0.2)",0.8822672674341796,0.6310837948914154,0.7756931467103468
"GPR (Matern 2.5, len=5.0, alpha=0.15)",0.880241136551029,0.6476302479015374,0.7823393507364306
"GPR (Matern 2.5, len=20.0, alpha=0.15)",0.880241135240945,0.6476302520385346,0.7823393550155721
"GPR (Matern 2.5, len=15.0, alpha=0.15)",0.880241135240945,0.6476302520385346,0.7823393550155721
"GPR (Matern 2.5, len=10.0, alpha=0.15)",0.880241135240945,0.6476302520385346,0.7823393550155721
"GPR (Matern 2.5, len=2.0, alpha=0.15)",0.8802411324233307,0.6476302591648001,0.7823393642187765
"SVR (RBF, C=50.0, eps=0.05, g=0.05)",0.8789195608561919,0.6517535641124081,0.7866441840677818
"SVR (RBF, C=50.0, eps=0.1, g=0.1)",0.8782526241753528,0.6559502680498441,0.788807710183714
"SVR (RBF, C=20.0, eps=0.1, g=0.1)",0.8769873090549589,0.6593163682703026,0.7928961368452275
